posted_at,product,post_no,price_usd,price_text,source,title,url
2026-06-06,firebat-f1-7640hs,89772,,,none,"[선착코드] GMKtec K12($177), GMKtec M6 7640HS ($145), FIREBAT 7430U 16G 512G($221) 등",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=89772
2026-08-17,firebat-f1-7640hs,96285,262.00,$262,title,"미니PC 특가) K12($177), FIREBAT F1 H255($356) F1 7640HS ($262)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96285
2026-08-21,firebat-f1-7640hs,97013,312.00,$312,title,"[미니PC특가] FIREBAT R3 7430U 16G 512G($216), 비링크 S13 N150($266), FIREBAT F1 H255 16G 512G($340), F1 7640HS 24G 512G($312)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97013
2026-08-21,firebat-f1-7640hs,97058,312.00,$312,title,"[미니PC특가] FIREBAT R3 7430U 16G 512G($216), 비링크 S13 N150($266), FIREBAT F1 H255 16G 512G($340), F1 7640HS 24G 512G($312)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97058
2026-08-22,firebat-f1-7640hs,97091,312.00,$312,title,"[미니PC특가] FIREBAT R3 7430U 16G 512G($216), 비링크 S13 N150($266), FIREBAT F1 H255 16G 512G($340), F1 7640HS 24G 512G($312)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97091
2026-08-22,firebat-f1-7640hs,97156,,,none,"[미니PC] FIREBAT R3 7430U($216), F1 H255 ($340)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97156
2026-08-23,firebat-f1-7640hs,97316,,,none,"[미니PC] FIREBAT R3 7430U($216), F1 H255 ($340)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97316
2026-08-24,firebat-f1-7640hs,97352,297.00,$297,title,"[특가] 미니PC FIREBAT R3 ($216), F1 7640HS ($297)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97352
2026-08-24,firebat-f1-7640hs,97371,,,none,"[미니PC] FIREBAT R3 7430U($216), F1 H255 ($340)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97371
2026-08-24,firebat-f1-7640hs,97386,312.00,$312,title,"[미니PC특가] FIREBAT R3 7430U 16G 512G($216), 비링크 S13 N150($266), FIREBAT F1 H255 16G 512G($340), F1 7640HS 24G 512G($312)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97386
2026-08-24,firebat-f1-7640hs,97396,297.00,$297,title,"[특가] 미니PC FIREBAT R3 ($216), F1 7640HS ($297)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97396
2026-08-24,firebat-f1-7640hs,97407,,,none,[미니피시 특가] FIREBAT R3 7430U 16G 512GB ($216) F1 H255 16G 512GB ($340) 등등 / 무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97407
2026-08-24,firebat-f1-7640hs,97437,297.00,$297,title,"[재입고] 미니PC GMKtec M6 7640HS ($164), FIREBAT R3 ($216), F1 7640HS ($297)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97437
2026-08-24,firebat-f1-7640hs,97450,,,none,[미니피시 특가] FIREBAT R3 7430U 16G 512GB ($216) F1 H255 16G 512GB ($340) 등등 / 무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97450
2026-08-24,firebat-f1-7640hs,97459,,,none,"[선착순코드] 빅미 B6 전자책리더기 ($101), 파이어뱃 미니PC R3($216)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97459
2026-08-25,firebat-f1-7640hs,97493,,,none,[재입고] GMKtec M6 Ultra 7640HS 게이밍 미니 PC($164) FIREBAT R3 7430U 16G 512GB ($216) F1 H255 16G 512GB ($340) 등등 / 무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97493
2026-08-25,firebat-f1-7640hs,97521,297.00,$297,title,"올독큐브 재입고) iPlay 80($84), 미니PC GMKtec M6 7640HS ($164), FIREBAT R3 ($216), F1 7640HS ($297)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97521
